Sensors & Software Inc - Pavement Density Profiler,
Line Name,Line1
Date,"18/06/2020, 16:05:56"
Application Version,V1 R3 921
Unit Serial Number,E001-0000-0003
Height (cm),50
Maximum Density (g/cm^3),2.38
A,1.08
B,-0.211
C,0.0063
Collection Mode,Profile
Trigger Mode,Free
Free Run Interval (s),0.10000000000000001
Step Size (m),
Odometer Calibration,
Line Description,test1

































Trace Number,Position (m),Reflection Coefficient,K_r,Bulk Density (g/cm^3),Relative Density (%),Air Void Content (%),Time of Day (seconds after midnight),Status,Flag,Latitude (deg),Longitude (deg),Elevation (m),Easting,Northing,UTM Zone
293,,-0.090010,1.375335,0.471904,19.83,80.17,57987.736718,0,0,,,,,,
294,,-0.090296,1.376762,0.472561,19.86,80.14,57987.750395000003,0,0,,,,,,
295,,-0.090045,1.375506,0.471983,19.83,80.17,57988.051874999997,0,0,,,,,,
296,,-0.090493,1.377747,0.473016,19.87,80.13,57988.065666000002,0,0,,,,,,
297,,-0.089758,1.374075,0.471323,19.80,80.20,57988.078793000001,0,0,,,,,,
298,,-0.091228,1.381433,0.474714,19.95,80.05,57988.350491999998,0,0,,,,,,
299,,-0.091524,1.382918,0.475398,19.97,80.03,57988.3629,0,0,,,,,,
300,,-0.090652,1.378542,0.473382,19.89,80.11,57988.376531000002,0,0,,,,,,
301,,-0.088953,1.370064,0.469474,19.73,80.27,57988.660296000002,0,0,,,,,,
302,,-0.089874,1.374655,0.471590,19.81,80.19,57988.675210000001,0,0,,,,,,
303,,-0.092199,1.386317,0.476964,20.04,79.96,57988.688703,0,0,,,,,,
304,,-0.088227,1.366460,0.467812,19.66,80.34,57988.961984000001,0,0,,,,,,
305,,-0.090255,1.376560,0.472469,19.85,80.15,57988.974700999999,0,0,,,,,,
306,,-0.089613,1.373350,0.470989,19.79,80.21,57988.988340000004,0,0,,,,,,
307,,-0.092022,1.385425,0.476553,20.02,79.98,57989.256353999997,0,0,,,,,,
308,,-0.090762,1.379095,0.473637,19.90,80.10,57989.279655999999,0,0,,,,,,
309,,-0.089936,1.374963,0.471732,19.82,80.18,57989.293110999999,0,0,,,,,,
310,,-0.091336,1.381976,0.474964,19.96,80.04,57989.457856000001,0,0,,,,,,
311,,-0.090798,1.379276,0.473720,19.90,80.10,57989.484005999999,0,0,,,,,,
312,,-0.090062,1.375591,0.472022,19.83,80.17,57989.496943999999,0,0,,,,,,
313,,-0.089047,1.370535,0.469691,19.73,80.27,57989.768647999997,0,0,,,,,,
314,,-0.088202,1.366337,0.467755,19.65,80.35,57989.794440999998,0,0,,,,,,
315,,-0.090473,1.377649,0.472970,19.87,80.13,57989.807164999998,0,0,,,,,,
316,,-0.088582,1.368221,0.468624,19.69,80.31,57990.069453999997,0,0,,,,,,
317,,-0.089670,1.373636,0.471121,19.79,80.21,57990.087642999999,0,0,,,,,,
318,,-0.088677,1.368696,0.468843,19.70,80.30,57990.111766000002,0,0,,,,,,
319,,-0.090370,1.377131,0.472732,19.86,80.14,57990.371446999998,0,0,,,,,,
320,,-0.084901,1.350087,0.460257,19.34,80.66,57990.384814999998,0,0,,,,,,
321,,-0.085805,1.354514,0.462300,19.42,80.58,57990.410380000001,0,0,,,,,,
322,,-0.092009,1.385363,0.476525,20.02,79.98,57990.674086999999,0,0,,,,,,
323,,-0.092312,1.386890,0.477228,20.05,79.95,57990.687896000003,0,0,,,,,,
324,,-0.090095,1.375760,0.472100,19.84,80.16,57990.711411999997,0,0,,,,,,
325,,-0.090081,1.375686,0.472066,19.83,80.17,57990.983452,0,0,,,,,,
326,,-0.087147,1.361122,0.465349,19.55,80.45,57990.997355,0,0,,,,,,
327,,-0.087500,1.362862,0.466152,19.59,80.41,57991.019890000003,0,0,,,,,,
328,,-0.089241,1.371498,0.470135,19.75,80.25,57991.285778999998,0,0,,,,,,
329,,-0.087954,1.365109,0.467189,19.63,80.37,57991.300547999999,0,0,,,,,,
330,,-0.088646,1.368540,0.468771,19.70,80.30,57991.340193000004,0,0,,,,,,
331,,-0.086772,1.359269,0.464495,19.52,80.48,57991.588512000002,0,0,,,,,,
332,,-0.083803,1.344731,0.457783,19.23,80.77,57991.602556999998,0,0,,,,,,
333,,-0.084651,1.348864,0.459692,19.31,80.69,57991.616361,0,0,,,,,,
334,,-0.085123,1.351171,0.460757,19.36,80.64,57991.891321000003,0,0,,,,,,
335,,-0.086460,1.357734,0.463786,19.49,80.51,57991.905480000001,0,0,,,,,,
336,,-0.095264,1.401869,0.484124,20.34,79.66,57991.918185000002,0,0,,,,,,
337,,-0.101918,1.436333,0.499964,21.01,78.99,57992.201136999996,0,0,,,,,,
338,,-0.111157,1.485833,0.522653,21.96,78.04,57992.214591000004,0,0,,,,,,
339,,-0.114041,1.501689,0.529906,22.26,77.74,57992.227314999996,0,0,,,,,,
340,,-0.125274,1.565347,0.558946,23.49,76.51,57992.510103000001,0,0,,,,,,
341,,-0.129495,1.590081,0.570197,23.96,76.04,57992.530162000003,0,0,,,,,,
342,,-0.125908,1.569038,0.560626,23.56,76.44,57992.563649000003,0,0,,,,,,
343,,-0.118819,1.528390,0.542101,22.78,77.22,57992.811418999998,0,0,,,,,,
344,,-0.117908,1.523258,0.539759,22.68,77.32,57992.824221000003,0,0,,,,,,
345,,-0.126716,1.573744,0.562768,23.65,76.35,57992.837604,0,0,,,,,,
346,,-0.129645,1.590965,0.570599,23.97,76.03,57993.114828999998,0,0,,,,,,
347,,-0.130917,1.598514,0.574028,24.12,75.88,57993.127665,0,0,,,,,,
348,,-0.131848,1.604061,0.576547,24.22,75.78,57993.140250999997,0,0,,,,,,
349,,-0.133613,1.614647,0.581353,24.43,75.57,57993.416681000002,0,0,,,,,,
350,,-0.133666,1.614962,0.581496,24.43,75.57,57993.429388999997,0,0,,,,,,
351,,-0.132787,1.609685,0.579101,24.33,75.67,57993.441913000002,0,0,,,,,,
352,,-0.136827,1.634125,0.590186,24.80,75.20,57993.731842000001,0,0,,,,,,
353,,-0.133538,1.614194,0.581147,24.42,75.58,57993.744831000004,0,0,,,,,,
354,,-0.134236,1.618400,0.583056,24.50,75.50,57993.758850999999,0,0,,,,,,
355,,-0.134007,1.617019,0.582429,24.47,75.53,57993.944876000001,0,0,,,,,,
356,,-0.134126,1.617739,0.582756,24.49,75.51,57993.958476,0,0,,,,,,
357,,-0.135382,1.625334,0.586200,24.63,75.37,57993.972888999997,0,0,,,,,,
358,,-0.134020,1.617099,0.582465,24.47,75.53,57994.242357000003,0,0,,,,,,
359,,-0.132011,1.605039,0.576992,24.24,75.76,57994.256449,0,0,,,,,,
360,,-0.132781,1.609650,0.579085,24.33,75.67,57994.270257999997,0,0,,,,,,
361,,-0.133921,1.616503,0.582195,24.46,75.54,57994.544759999997,0,0,,,,,,
362,,-0.134685,1.621111,0.584285,24.55,75.45,57994.560185000002,0,0,,,,,,
363,,-0.131303,1.600813,0.575073,24.16,75.84,57994.572665,0,0,,,,,,
364,,-0.134431,1.619576,0.583589,24.52,75.48,57994.847253,0,0,,,,,,
365,,-0.131256,1.600529,0.574943,24.16,75.84,57994.861433999999,0,0,,,,,,
366,,-0.132643,1.608818,0.578707,24.32,75.68,57994.874301000003,0,0,,,,,,
367,,-0.133938,1.616603,0.582240,24.46,75.54,57995.160006999999,0,0,,,,,,
368,,-0.134853,1.622127,0.584746,24.57,75.43,57995.173610999998,0,0,,,,,,
369,,-0.134053,1.617297,0.582555,24.48,75.52,57995.186367000002,0,0,,,,,,
370,,-0.133014,1.611042,0.579717,24.36,75.64,57995.460878999998,0,0,,,,,,
371,,-0.132925,1.610511,0.579476,24.35,75.65,57995.475459000001,0,0,,,,,,
372,,-0.131525,1.602133,0.575672,24.19,75.81,57995.490118000002,0,0,,,,,,
373,,-0.134924,1.622558,0.584942,24.58,75.42,57995.762906999997,0,0,,,,,,
374,,-0.130689,1.597155,0.573411,24.09,75.91,57995.776968999999,0,0,,,,,,
375,,-0.132456,1.607699,0.578199,24.29,75.71,57995.789813000003,0,0,,,,,,
376,,-0.133363,1.613140,0.580669,24.40,75.60,57996.065577000001,0,0,,,,,,
377,,-0.131784,1.603680,0.576375,24.22,75.78,57996.079244,0,0,,,,,,
378,,-0.131277,1.600659,0.575003,24.16,75.84,57996.092699000001,0,0,,,,,,
379,,-0.133802,1.615786,0.581869,24.45,75.55,57996.373534999999,0,0,,,,,,
380,,-0.132137,1.605788,0.577332,24.26,75.74,57996.386976000002,0,0,,,,,,
381,,-0.132026,1.605127,0.577032,24.25,75.75,57996.399707999997,0,0,,,,,,
382,,-0.133866,1.616166,0.582042,24.46,75.54,57996.684893999998,0,0,,,,,,
383,,-0.133648,1.614855,0.581447,24.43,75.57,57996.698731999997,0,0,,,,,,
384,,-0.135442,1.625701,0.586367,24.64,75.36,57996.711308999998,0,0,,,,,,
385,,-0.129488,1.590035,0.570176,23.96,76.04,57996.986644999997,0,0,,,,,,
386,,-0.135588,1.626582,0.586766,24.65,75.35,57996.999579000003,0,0,,,,,,
387,,-0.133408,1.613414,0.580793,24.40,75.60,57997.013484000003,0,0,,,,,,
388,,-0.136734,1.633557,0.589928,24.79,75.21,57997.288602000001,0,0,,,,,,
389,,-0.133847,1.616057,0.581993,24.45,75.55,57997.301884,0,0,,,,,,
390,,-0.136573,1.632578,0.589484,24.77,75.23,57997.314531000004,0,0,,,,,,
391,,-0.130665,1.597017,0.573348,24.09,75.91,57997.592683000003,0,0,,,,,,
392,,-0.132134,1.605773,0.577325,24.26,75.74,57997.605975999999,0,0,,,,,,
393,,-0.130711,1.597289,0.573472,24.10,75.90,57997.618972999997,0,0,,,,,,
394,,-0.130979,1.598881,0.574195,24.13,75.87,57997.908418999999,0,0,,,,,,
395,,-0.130305,1.594879,0.572377,24.05,75.95,57997.921269999999,0,0,,,,,,
396,,-0.134270,1.618607,0.583150,24.50,75.50,57997.934562000002,0,0,,,,,,
397,,-0.133042,1.611211,0.579794,24.36,75.64,57998.124391999998,0,0,,,,,,
398,,-0.132319,1.606880,0.577827,24.28,75.72,57998.136963999998,0,0,,,,,,
399,,-0.132071,1.605398,0.577155,24.25,75.75,57998.153078000003,0,0,,,,,,
400,,-0.133377,1.613225,0.580707,24.40,75.60,57998.420876999997,0,0,,,,,,
401,,-0.134348,1.619079,0.583364,24.51,75.49,57998.433842999999,0,0,,,,,,
402,,-0.134483,1.619891,0.583732,24.53,75.47,57998.447637999998,0,0,,,,,,
403,,-0.135678,1.627133,0.587016,24.66,75.34,57998.727298999998,0,0,,,,,,
404,,-0.130793,1.597774,0.573692,24.10,75.90,57998.739843000003,0,0,,,,,,
405,,-0.133110,1.611623,0.579980,24.37,75.63,57998.752197000002,0,0,,,,,,
406,,-0.132161,1.605935,0.577398,24.26,75.74,57999.033551,0,0,,,,,,
407,,-0.133190,1.612102,0.580198,24.38,75.62,57999.046079,0,0,,,,,,
408,,-0.131843,1.604035,0.576536,24.22,75.78,57999.058990999998,0,0,,,,,,
409,,-0.136057,1.629436,0.588060,24.71,75.29,57999.352711,0,0,,,,,,
410,,-0.131610,1.602639,0.575902,24.20,75.80,57999.365755999999,0,0,,,,,,
411,,-0.137087,1.635712,0.590905,24.83,75.17,57999.382118000001,0,0,,,,,,
412,,-0.133166,1.611956,0.580132,24.38,75.62,57999.661999000004,0,0,,,,,,
413,,-0.135412,1.625518,0.586284,24.63,75.37,57999.675143,0,0,,,,,,
414,,-0.139139,1.648308,0.596610,25.07,74.93,57999.691666999999,0,0,,,,,,
415,,-0.140777,1.658448,0.601199,25.26,74.74,57999.960080999997,0,0,,,,,,
416,,-0.143845,1.677623,0.609869,25.62,74.38,57999.972549999999,0,0,,,,,,
417,,-0.142385,1.668469,0.605731,25.45,74.55,57999.990021999998,0,0,,,,,,
418,,-0.142915,1.671782,0.607229,25.51,74.49,58000.265155000001,0,0,,,,,,
419,,-0.142453,1.668891,0.605922,25.46,74.54,58000.277783999998,0,0,,,,,,
420,,-0.141395,1.662290,0.602937,25.33,74.67,58000.290312999998,0,0,,,,,,
421,,-0.140408,1.656158,0.600163,25.22,74.78,58000.567690999997,0,0,,,,,,
422,,-0.141548,1.663241,0.603368,25.35,74.65,58000.580407000001,0,0,,,,,,
423,,-0.139261,1.649062,0.596951,25.08,74.92,58000.593112000002,0,0,,,,,,
424,,-0.140216,1.654967,0.599624,25.19,74.81,58000.882122000003,0,0,,,,,,
425,,-0.144708,1.683065,0.612328,25.73,74.27,58000.895125000003,0,0,,,,,,
426,,-0.139927,1.653176,0.598813,25.16,74.84,58000.911856999999,0,0,,,,,,
427,,-0.138647,1.645277,0.595238,25.01,74.99,58001.173310999999,0,0,,,,,,
428,,-0.139015,1.647546,0.596265,25.05,74.95,58001.187166999996,0,0,,,,,,
429,,-0.139041,1.647709,0.596338,25.06,74.94,58001.212208999998,0,0,,,,,,
430,,-0.140096,1.654222,0.599287,25.18,74.82,58001.375488999998,0,0,,,,,,
431,,-0.141859,1.665179,0.604244,25.39,74.61,58001.388336999997,0,0,,,,,,
432,,-0.135519,1.626167,0.586578,24.65,75.35,58001.401888,0,0,,,,,,
433,,-0.136779,1.633837,0.590055,24.79,75.21,58001.677965000003,0,0,,,,,,
434,,-0.134468,1.619803,0.583692,24.52,75.48,58001.690600000002,0,0,,,,,,
435,,-0.136794,1.633923,0.590094,24.79,75.21,58001.704025999999,0,0,,,,,,
436,,-0.136140,1.629942,0.588290,24.72,75.28,58001.980113999998,0,0,,,,,,
437,,-0.133094,1.611528,0.579937,24.37,75.63,58001.992081999997,0,0,,,,,,
438,,-0.137829,1.640258,0.592964,24.91,75.09,58002.284768999998,0,0,,,,,,
439,,-0.136256,1.630647,0.588609,24.73,75.27,58002.298943000002,0,0,,,,,,
440,,-0.134471,1.619817,0.583698,24.53,75.47,58002.312943999998,0,0,,,,,,
441,,-0.137885,1.640597,0.593118,24.92,75.08,58002.587100999997,0,0,,,,,,
442,,-0.136626,1.632901,0.589631,24.77,75.23,58002.674290000003,0,0,,,,,,
443,,-0.137398,1.637618,0.591768,24.86,75.14,58002.686973000003,0,0,,,,,,
444,,-0.137252,1.636723,0.591363,24.85,75.15,58002.888744000003,0,0,,,,,,
445,,-0.137025,1.635337,0.590735,24.82,75.18,58002.901597999997,0,0,,,,,,
446,,-0.134647,1.620882,0.584181,24.55,75.45,58002.914722000001,0,0,,,,,,
447,,-0.135116,1.623722,0.585470,24.60,75.40,58003.191442000003,0,0,,,,,,
448,,-0.134719,1.621321,0.584380,24.55,75.45,58003.204676000001,0,0,,,,,,
449,,-0.135597,1.626636,0.586791,24.66,75.34,58003.217703000002,0,0,,,,,,
450,,-0.137682,1.639353,0.592554,24.90,75.10,58003.497842999997,0,0,,,,,,
451,,-0.137793,1.640033,0.592862,24.91,75.09,58003.511208000004,0,0,,,,,,
452,,-0.138731,1.645794,0.595471,25.02,74.98,58003.524461000001,0,0,,,,,,
453,,-0.136413,1.631601,0.589041,24.75,75.25,58003.797929,0,0,,,,,,
454,,-0.139169,1.648493,0.596693,25.07,74.93,58003.810602999998,0,0,,,,,,
455,,-0.137617,1.638955,0.592374,24.89,75.11,58003.825771999997,0,0,,,,,,
456,,-0.139075,1.647916,0.596432,25.06,74.94,58004.100146999997,0,0,,,,,,
457,,-0.137453,1.637952,0.591920,24.87,75.13,58004.113653,0,0,,,,,,
458,,-0.137514,1.638324,0.592088,24.88,75.12,58004.126459999999,0,0,,,,,,
459,,-0.137668,1.639269,0.592516,24.90,75.10,58004.402561000003,0,0,,,,,,
460,,-0.137118,1.635904,0.590992,24.83,75.17,58004.415493,0,0,,,,,,
461,,-0.140840,1.658838,0.601375,25.27,74.73,58004.427991999997,0,0,,,,,,
462,,-0.138413,1.643840,0.594587,24.98,75.02,58004.714558,0,0,,,,,,
463,,-0.139407,1.649964,0.597360,25.10,74.90,58004.727313000003,0,0,,,,,,
464,,-0.140271,1.655307,0.599778,25.20,74.80,58004.739848999998,0,0,,,,,,
465,,-0.143821,1.677475,0.609803,25.62,74.38,58005.022426000003,0,0,,,,,,
466,,-0.060946,1.238650,0.408621,17.17,82.83,58005.036705999999,0,0,,,,,,
467,,-0.149787,1.715516,0.626970,26.34,73.66,58005.049633000002,0,0,,,,,,
468,,-0.144386,1.681033,0.611410,25.69,74.31,58005.328738999997,0,0,,,,,,
469,,-0.136375,1.631371,0.588937,24.75,75.25,58005.341545000003,0,0,,,,,,
470,,-0.131949,1.604668,0.576823,24.24,75.76,58005.355530000001,0,0,,,,,,
471,,-0.131607,1.602625,0.575896,24.20,75.80,58005.656717999998,0,0,,,,,,
472,,-0.120968,1.540580,0.547662,23.01,76.99,58005.669812,0,0,,,,,,
473,,-0.101986,1.436690,0.500128,21.01,78.99,58005.684362,0,0,,,,,,
474,,-0.092544,1.388058,0.477766,20.07,79.93,58005.944165000001,0,0,,,,,,
475,,-0.090949,1.380034,0.474069,19.92,80.08,58005.956903999999,0,0,,,,,,
476,,-0.089108,1.370836,0.469830,19.74,80.26,58005.969730999997,0,0,,,,,,
477,,-0.098246,1.417195,0.491172,20.64,79.36,58006.242208000003,0,0,,,,,,
478,,-0.103374,1.444004,0.503485,21.15,78.85,58006.258403,0,0,,,,,,
479,,-0.103865,1.446601,0.504677,21.20,78.80,58006.271688000001,0,0,,,,,,
480,,-0.107635,1.466734,0.513908,21.59,78.41,58006.452348999999,0,0,,,,,,
481,,-0.120318,1.536884,0.545976,22.94,77.06,58006.466994000002,0,0,,,,,,
482,,-0.138397,1.643743,0.594543,24.98,75.02,58006.481102999998,0,0,,,,,,
483,,-0.135921,1.628605,0.587683,24.69,75.31,58006.754604000002,0,0,,,,,,
484,,-0.137259,1.636767,0.591383,24.85,75.15,58006.769798000001,0,0,,,,,,
485,,-0.140304,1.655512,0.599871,25.20,74.80,58006.784610000002,0,0,,,,,,
486,,-0.141643,1.663832,0.603635,25.36,74.64,58007.046821000004,0,0,,,,,,
487,,-0.148068,1.704452,0.621982,26.13,73.87,58007.078472000001,0,0,,,,,,
488,,-0.148318,1.706056,0.622705,26.16,73.84,58007.092482,0,0,,,,,,
489,,-0.055999,1.216987,0.398540,16.75,83.25,58007.356161999996,0,0,,,,,,
490,,-0.143914,1.678062,0.610068,25.63,74.37,58007.380842999999,0,0,,,,,,
491,,-0.141371,1.662140,0.602869,25.33,74.67,58007.395279999997,0,0,,,,,,
492,,-0.137008,1.635232,0.590687,24.82,75.18,58007.656689000003,0,0,,,,,,
493,,-0.132815,1.609852,0.579177,24.34,75.66,58007.673431000003,0,0,,,,,,
494,,-0.131723,1.603316,0.576209,24.21,75.79,58007.698402000002,0,0,,,,,,
495,,-0.126996,1.575382,0.563513,23.68,76.32,58007.958481000001,0,0,,,,,,
496,,-0.107407,1.465504,0.513344,21.57,78.43,58007.971250000002,0,0,,,,,,
497,,-0.101324,1.433220,0.498535,20.95,79.05,58007.995736999997,0,0,,,,,,
498,,-0.094970,1.400367,0.483433,20.31,79.69,58008.252618999999,0,0,,,,,,
499,,-0.094921,1.400117,0.483318,20.31,79.69,58008.261014000003,0,0,,,,,,
500,,-0.096010,1.405684,0.485879,20.42,79.58,58008.268990999997,0,0,,,,,,
501,,-0.099993,1.426265,0.495340,20.81,79.19,58008.562642999997,0,0,,,,,,
502,,-0.102010,1.436819,0.500188,21.02,78.98,58008.575575000003,0,0,,,,,,
503,,-0.104203,1.448397,0.505501,21.24,78.76,58008.639836000002,0,0,,,,,,
504,,-0.107692,1.467042,0.514049,21.60,78.40,58008.868420999999,0,0,,,,,,
505,,-0.112972,1.495788,0.527207,22.15,77.85,58008.883143999999,0,0,,,,,,
506,,-0.134876,1.622266,0.584809,24.57,75.43,58008.905421000003,0,0,,,,,,
507,,-0.135474,1.625891,0.586453,24.64,75.36,58009.169381,0,0,,,,,,
508,,-0.138480,1.644254,0.594774,24.99,75.01,58009.182159999997,0,0,,,,,,
509,,-0.136364,1.631305,0.588907,24.74,75.26,58009.195720999996,0,0,,,,,,
510,,-0.137420,1.637752,0.591829,24.87,75.13,58009.471567000001,0,0,,,,,,
511,,-0.142283,1.667831,0.605443,25.44,74.56,58009.484452999997,0,0,,,,,,
512,,-0.147668,1.701887,0.620825,26.09,73.91,58009.497033,0,0,,,,,,
513,,-0.149456,1.713381,0.626008,26.30,73.70,58009.774427999997,0,0,,,,,,
514,,-0.144481,1.681633,0.611681,25.70,74.30,58009.787307999999,0,0,,,,,,
515,,-0.142165,1.667092,0.605109,25.42,74.58,58009.799896999997,0,0,,,,,,
516,,-0.135286,1.624752,0.585937,24.62,75.38,58010.082235000002,0,0,,,,,,
517,,-0.137052,1.635501,0.590809,24.82,75.18,58010.095590999998,0,0,,,,,,
518,,-0.132896,1.610334,0.579396,24.34,75.66,58010.108982999998,0,0,,,,,,
519,,-0.129832,1.592073,0.571102,24.00,76.00,58010.381136999997,0,0,,,,,,
520,,-0.128681,1.585277,0.568013,23.87,76.13,58010.394193,0,0,,,,,,
521,,-0.124202,1.559142,0.556121,23.37,76.63,58010.408732999997,0,0,,,,,,
522,,-0.104712,1.451100,0.506741,21.29,78.71,58010.683185000002,0,0,,,,,,
523,,-0.097574,1.413727,0.489578,20.57,79.43,58010.699065000001,0,0,,,,,,
524,,-0.096157,1.406439,0.486227,20.43,79.57,58010.711739999999,0,0,,,,,,
525,,-0.095378,1.402454,0.484393,20.35,79.65,58010.985951000002,0,0,,,,,,
526,,-0.097593,1.413822,0.489622,20.57,79.43,58011.001487000001,0,0,,,,,,
527,,-0.101893,1.436205,0.499906,21.00,79.00,58011.014330999998,0,0,,,,,,
528,,-0.109132,1.474814,0.517609,21.75,78.25,58011.303750999999,0,0,,,,,,
529,,-0.110231,1.480785,0.520343,21.86,78.14,58011.316417000002,0,0,,,,,,
530,,-0.115344,1.508916,0.533209,22.40,77.60,58011.328978999998,0,0,,,,,,
531,,-0.140391,1.656050,0.600114,25.21,74.79,58011.514754999997,0,0,,,,,,
532,,-0.138001,1.641312,0.593442,24.93,75.07,58011.527781999997,0,0,,,,,,
533,,-0.139397,1.649901,0.597331,25.10,74.90,58011.540492,0,0,,,,,,
534,,-0.139719,1.651890,0.598232,25.14,74.86,58011.815417999998,0,0,,,,,,
535,,-0.147599,1.701450,0.620627,26.08,73.92,58011.828834,0,0,,,,,,
536,,-0.146228,1.692704,0.616681,25.91,74.09,58011.843483999997,0,0,,,,,,
537,,-0.141314,1.661784,0.602709,25.32,74.68,58012.119280999999,0,0,,,,,,
538,,-0.141536,1.663164,0.603332,25.35,74.65,58012.132076000002,0,0,,,,,,
539,,-0.136921,1.634701,0.590446,24.81,75.19,58012.144760000003,0,0,,,,,,
540,,-0.136756,1.633691,0.589989,24.79,75.21,58012.420979000002,0,0,,,,,,
541,,-0.133182,1.612053,0.580175,24.38,75.62,58012.433658000002,0,0,,,,,,
542,,-0.128087,1.581778,0.566422,23.80,76.20,58012.446172999997,0,0,,,,,,
543,,-0.121946,1.546169,0.550210,23.12,76.88,58012.743794000002,0,0,,,,,,
544,,-0.105062,1.452960,0.507594,21.33,78.67,58012.756880000001,0,0,,,,,,
545,,-0.097082,1.411187,0.488410,20.52,79.48,58012.772149999997,0,0,,,,,,
546,,-0.097273,1.412172,0.488863,20.54,79.46,58013.046672999997,0,0,,,,,,
547,,-0.098218,1.417047,0.491104,20.63,79.37,58013.060102000003,0,0,,,,,,
548,,-0.105466,1.455113,0.508581,21.37,78.63,58013.076871999998,0,0,,,,,,
549,,-0.107164,1.464200,0.512747,21.54,78.46,58013.346347999999,0,0,,,,,,
550,,-0.114213,1.502637,0.530339,22.28,77.72,58013.359133999998,0,0,,,,,,
551,,-0.137215,1.636496,0.591260,24.84,75.16,58013.374210000002,0,0,,,,,,
552,,-0.139397,1.649903,0.597332,25.10,74.90,58013.65021,0,0,,,,,,
553,,-0.139607,1.651197,0.597918,25.12,74.88,58013.663310000004,0,0,,,,,,
554,,-0.146524,1.694583,0.617529,25.95,74.05,58013.676008000002,0,0,,,,,,
555,,-0.148073,1.704483,0.621996,26.13,73.87,58013.944484,0,0,,,,,,
556,,-0.144624,1.682540,0.612091,25.72,74.28,58013.966093000003,0,0,,,,,,
557,,-0.144652,1.682715,0.612170,25.72,74.28,58013.978717999998,0,0,,,,,,
558,,-0.137860,1.640444,0.593049,24.92,75.08,58014.252023000001,0,0,,,,,,
559,,-0.133991,1.616921,0.582384,24.47,75.53,58014.274782,0,0,,,,,,
560,,-0.138054,1.641634,0.593587,24.94,75.06,58014.287341000003,0,0,,,,,,
561,,-0.133978,1.616843,0.582349,24.47,75.53,58014.552239999997,0,0,,,,,,
562,,-0.132183,1.606062,0.577456,24.26,75.74,58014.565458999998,0,0,,,,,,
563,,-0.121870,1.545732,0.550011,23.11,76.89,58014.579134,0,0,,,,,,
564,,-0.102056,1.437057,0.500297,21.02,78.98,58014.855031999999,0,0,,,,,,
565,,-0.097594,1.413827,0.489624,20.57,79.43,58014.867942999997,0,0,,,,,,
566,,-0.097705,1.414402,0.489889,20.58,79.42,58014.891280999997,0,0,,,,,,
567,,-0.097514,1.413413,0.489434,20.56,79.44,58015.157417000002,0,0,,,,,,
568,,-0.102059,1.437076,0.500305,21.02,78.98,58015.170324999999,0,0,,,,,,
569,,-0.108156,1.469538,0.515192,21.65,78.35,58015.183439,0,0,,,,,,
570,,-0.115321,1.508786,0.533149,22.40,77.60,58015.464483000003,0,0,,,,,,
571,,-0.138695,1.645578,0.595374,25.02,74.98,58015.477466999997,0,0,,,,,,
572,,-0.139728,1.651945,0.598256,25.14,74.86,58015.490435,0,0,,,,,,
573,,-0.139374,1.649759,0.597267,25.10,74.90,58015.765556999999,0,0,,,,,,
574,,-0.144649,1.682692,0.612160,25.72,74.28,58015.778879999998,0,0,,,,,,
575,,-0.145664,1.689120,0.615062,25.84,74.16,58015.793708999998,0,0,,,,,,
576,,-0.049322,1.188441,0.385234,16.19,83.81,58016.067758999998,0,0,,,,,,
577,,-0.138634,1.645202,0.595203,25.01,74.99,58016.080500999997,0,0,,,,,,
578,,-0.141088,1.660381,0.602074,25.30,74.70,58016.092998,0,0,,,,,,
579,,-0.133794,1.615738,0.581848,24.45,75.55,58016.271918999999,0,0,,,,,,
580,,-0.134481,1.619879,0.583727,24.53,75.47,58016.284848000003,0,0,,,,,,
581,,-0.129827,1.592046,0.571090,24.00,76.00,58016.297567000001,0,0,,,,,,
582,,-0.109397,1.476253,0.518268,21.78,78.22,58016.583691,0,0,,,,,,
583,,-0.102379,1.438757,0.501077,21.05,78.95,58016.596568000001,0,0,,,,,,
584,,-0.098596,1.419004,0.492004,20.67,79.33,58016.609916000001,0,0,,,,,,
585,,-0.094374,1.397333,0.482036,20.25,79.75,58016.905791999998,0,0,,,,,,
586,,-0.098580,1.418925,0.491968,20.67,79.33,58016.918291000002,0,0,,,,,,
587,,-0.103371,1.443991,0.503479,21.15,78.85,58017.203621000001,0,0,,,,,,
588,,-0.109059,1.474420,0.517429,21.74,78.26,58017.234548,0,0,,,,,,
589,,-0.116455,1.515110,0.536038,22.52,77.48,58017.249478999998,0,0,,,,,,
590,,-0.139901,1.653017,0.598741,25.16,74.84,58017.505668999998,0,0,,,,,,
591,,-0.139332,1.649498,0.597149,25.09,74.91,58017.518370999998,0,0,,,,,,
592,,-0.141231,1.661267,0.602475,25.31,74.69,58017.54305,0,0,,,,,,
593,,-0.144119,1.679350,0.610650,25.66,74.34,58017.808449999997,0,0,,,,,,
594,,-0.145491,1.688025,0.614568,25.82,74.18,58017.821742,0,0,,,,,,
595,,-0.049978,1.191210,0.386526,16.24,83.76,58017.836000000003,0,0,,,,,,
596,,-0.141889,1.665367,0.604329,25.39,74.61,58018.111380000002,0,0,,,,,,
597,,-0.134932,1.622607,0.584964,24.58,75.42,58018.124356,0,0,,,,,,
598,,-0.135035,1.623230,0.585246,24.59,75.41,58018.137000000002,0,0,,,,,,
